"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02466V02984","Criteria for Projection","UNIT","VALUE"
"PEC25C01","Projected Annual Births","2023","2023","-","Both sexes","21","Method - M1","Number","57537"
"PEC25C01","Projected Annual Births","2023","2023","-","Both sexes","22","Method - M2","Number","57537"
"PEC25C01","Projected Annual Births","2023","2023","-","Both sexes","23","Method - M3","Number","57537"
"PEC25C01","Projected Annual Births","2023","2023","1","Male","21","Method - M1","Number","29522"
"PEC25C01","Projected Annual Births","2023","2023","1","Male","22","Method - M2","Number","29522"
"PEC25C01","Projected Annual Births","2023","2023","1","Male","23","Method - M3","Number","29522"
"PEC25C01","Projected Annual Births","2023","2023","2","Female","21","Method - M1","Number","28015"
"PEC25C01","Projected Annual Births","2023","2023","2","Female","22","Method - M2","Number","28015"
"PEC25C01","Projected Annual Births","2023","2023","2","Female","23","Method - M3","Number","28015"
"PEC25C01","Projected Annual Births","2024","2024","-","Both sexes","21","Method - M1","Number","55528"
"PEC25C01","Projected Annual Births","2024","2024","-","Both sexes","22","Method - M2","Number","55528"
"PEC25C01","Projected Annual Births","2024","2024","-","Both sexes","23","Method - M3","Number","55528"
"PEC25C01","Projected Annual Births","2024","2024","1","Male","21","Method - M1","Number","28491"
"PEC25C01","Projected Annual Births","2024","2024","1","Male","22","Method - M2","Number","28491"
"PEC25C01","Projected Annual Births","2024","2024","1","Male","23","Method - M3","Number","28491"
"PEC25C01","Projected Annual Births","2024","2024","2","Female","21","Method - M1","Number","27037"
"PEC25C01","Projected Annual Births","2024","2024","2","Female","22","Method - M2","Number","27037"
"PEC25C01","Projected Annual Births","2024","2024","2","Female","23","Method - M3","Number","27037"
"PEC25C01","Projected Annual Births","2025","2025","-","Both sexes","21","Method - M1","Number","55292"
"PEC25C01","Projected Annual Births","2025","2025","-","Both sexes","22","Method - M2","Number","55006"
"PEC25C01","Projected Annual Births","2025","2025","-","Both sexes","23","Method - M3","Number","54921"
"PEC25C01","Projected Annual Births","2025","2025","1","Male","21","Method - M1","Number","28370"
"PEC25C01","Projected Annual Births","2025","2025","1","Male","22","Method - M2","Number","28224"
"PEC25C01","Projected Annual Births","2025","2025","1","Male","23","Method - M3","Number","28180"
"PEC25C01","Projected Annual Births","2025","2025","2","Female","21","Method - M1","Number","26922"
"PEC25C01","Projected Annual Births","2025","2025","2","Female","22","Method - M2","Number","26782"
"PEC25C01","Projected Annual Births","2025","2025","2","Female","23","Method - M3","Number","26741"
"PEC25C01","Projected Annual Births","2026","2026","-","Both sexes","21","Method - M1","Number","55032"
"PEC25C01","Projected Annual Births","2026","2026","-","Both sexes","22","Method - M2","Number","54471"
"PEC25C01","Projected Annual Births","2026","2026","-","Both sexes","23","Method - M3","Number","54110"
"PEC25C01","Projected Annual Births","2026","2026","1","Male","21","Method - M1","Number","28237"
"PEC25C01","Projected Annual Births","2026","2026","1","Male","22","Method - M2","Number","27949"
"PEC25C01","Projected Annual Births","2026","2026","1","Male","23","Method - M3","Number","27764"
"PEC25C01","Projected Annual Births","2026","2026","2","Female","21","Method - M1","Number","26795"
"PEC25C01","Projected Annual Births","2026","2026","2","Female","22","Method - M2","Number","26522"
"PEC25C01","Projected Annual Births","2026","2026","2","Female","23","Method - M3","Number","26346"
"PEC25C01","Projected Annual Births","2027","2027","-","Both sexes","21","Method - M1","Number","54462"
"PEC25C01","Projected Annual Births","2027","2027","-","Both sexes","22","Method - M2","Number","53723"
"PEC25C01","Projected Annual Births","2027","2027","-","Both sexes","23","Method - M3","Number","53193"
"PEC25C01","Projected Annual Births","2027","2027","1","Male","21","Method - M1","Number","27944"
"PEC25C01","Projected Annual Births","2027","2027","1","Male","22","Method - M2","Number","27565"
"PEC25C01","Projected Annual Births","2027","2027","1","Male","23","Method - M3","Number","27293"
"PEC25C01","Projected Annual Births","2027","2027","2","Female","21","Method - M1","Number","26518"
"PEC25C01","Projected Annual Births","2027","2027","2","Female","22","Method - M2","Number","26158"
"PEC25C01","Projected Annual Births","2027","2027","2","Female","23","Method - M3","Number","25900"
"PEC25C01","Projected Annual Births","2028","2028","-","Both sexes","21","Method - M1","Number","53942"
"PEC25C01","Projected Annual Births","2028","2028","-","Both sexes","22","Method - M2","Number","53030"
"PEC25C01","Projected Annual Births","2028","2028","-","Both sexes","23","Method - M3","Number","52331"
"PEC25C01","Projected Annual Births","2028","2028","1","Male","21","Method - M1","Number","27678"
"PEC25C01","Projected Annual Births","2028","2028","1","Male","22","Method - M2","Number","27210"
"PEC25C01","Projected Annual Births","2028","2028","1","Male","23","Method - M3","Number","26851"
"PEC25C01","Projected Annual Births","2028","2028","2","Female","21","Method - M1","Number","26264"
"PEC25C01","Projected Annual Births","2028","2028","2","Female","22","Method - M2","Number","25820"
"PEC25C01","Projected Annual Births","2028","2028","2","Female","23","Method - M3","Number","25480"
"PEC25C01","Projected Annual Births","2029","2029","-","Both sexes","21","Method - M1","Number","53622"
"PEC25C01","Projected Annual Births","2029","2029","-","Both sexes","22","Method - M2","Number","52544"
"PEC25C01","Projected Annual Births","2029","2029","-","Both sexes","23","Method - M3","Number","51679"
"PEC25C01","Projected Annual Births","2029","2029","1","Male","21","Method - M1","Number","27513"
"PEC25C01","Projected Annual Births","2029","2029","1","Male","22","Method - M2","Number","26960"
"PEC25C01","Projected Annual Births","2029","2029","1","Male","23","Method - M3","Number","26516"
"PEC25C01","Projected Annual Births","2029","2029","2","Female","21","Method - M1","Number","26109"
"PEC25C01","Projected Annual Births","2029","2029","2","Female","22","Method - M2","Number","25584"
"PEC25C01","Projected Annual Births","2029","2029","2","Female","23","Method - M3","Number","25163"
"PEC25C01","Projected Annual Births","2030","2030","-","Both sexes","21","Method - M1","Number","53476"
"PEC25C01","Projected Annual Births","2030","2030","-","Both sexes","22","Method - M2","Number","52238"
"PEC25C01","Projected Annual Births","2030","2030","-","Both sexes","23","Method - M3","Number","51213"
"PEC25C01","Projected Annual Births","2030","2030","1","Male","21","Method - M1","Number","27439"
"PEC25C01","Projected Annual Births","2030","2030","1","Male","22","Method - M2","Number","26803"
"PEC25C01","Projected Annual Births","2030","2030","1","Male","23","Method - M3","Number","26277"
"PEC25C01","Projected Annual Births","2030","2030","2","Female","21","Method - M1","Number","26037"
"PEC25C01","Projected Annual Births","2030","2030","2","Female","22","Method - M2","Number","25435"
"PEC25C01","Projected Annual Births","2030","2030","2","Female","23","Method - M3","Number","24936"
"PEC25C01","Projected Annual Births","2031","2031","-","Both sexes","21","Method - M1","Number","53357"
"PEC25C01","Projected Annual Births","2031","2031","-","Both sexes","22","Method - M2","Number","51967"
"PEC25C01","Projected Annual Births","2031","2031","-","Both sexes","23","Method - M3","Number","50697"
"PEC25C01","Projected Annual Births","2031","2031","1","Male","21","Method - M1","Number","27377"
"PEC25C01","Projected Annual Births","2031","2031","1","Male","22","Method - M2","Number","26664"
"PEC25C01","Projected Annual Births","2031","2031","1","Male","23","Method - M3","Number","26013"
"PEC25C01","Projected Annual Births","2031","2031","2","Female","21","Method - M1","Number","25980"
"PEC25C01","Projected Annual Births","2031","2031","2","Female","22","Method - M2","Number","25303"
"PEC25C01","Projected Annual Births","2031","2031","2","Female","23","Method - M3","Number","24684"
"PEC25C01","Projected Annual Births","2032","2032","-","Both sexes","21","Method - M1","Number","53218"
"PEC25C01","Projected Annual Births","2032","2032","-","Both sexes","22","Method - M2","Number","51682"
"PEC25C01","Projected Annual Births","2032","2032","-","Both sexes","23","Method - M3","Number","50177"
"PEC25C01","Projected Annual Births","2032","2032","1","Male","21","Method - M1","Number","27306"
"PEC25C01","Projected Annual Births","2032","2032","1","Male","22","Method - M2","Number","26518"
"PEC25C01","Projected Annual Births","2032","2032","1","Male","23","Method - M3","Number","25746"
"PEC25C01","Projected Annual Births","2032","2032","2","Female","21","Method - M1","Number","25912"
"PEC25C01","Projected Annual Births","2032","2032","2","Female","22","Method - M2","Number","25164"
"PEC25C01","Projected Annual Births","2032","2032","2","Female","23","Method - M3","Number","24431"
"PEC25C01","Projected Annual Births","2033","2033","-","Both sexes","21","Method - M1","Number","53129"
